STATE,ST,GUN VIOLENCE DEATHS PER CAPITA,YEAR,MEDIAN INCOME,OCCUPATION,TOTAL EMPLOYEES,LOCATION,DATE,TOTAL GUN VIOLENCE VICTIMS FROM MASS SHOOTING,TOTAL FIREARMS REPORTS AS LOST OR STOLEN,NUMBER OF REGISTERED FIREARMS
Alabama,,17.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,NA,15.8,1999,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,NA,16.3,1999,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,NA,14.6,1999,NA,NA,NA,NA,NA,NA,NA,NA
California,NA,9.3,1999,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,NA,10.8,1999,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,NA,5.9,1999,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,NA,8.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Florida,NA,10.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,NA,13.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,NA,3.4,1999,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,NA,12.2,1999,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,NA,9.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,NA,11.2,1999,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,NA,6.8,1999,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,NA,10,1999,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,NA,12.9,1999,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,NA,17.5,1999,NA,NA,NA,NA,NA,NA,NA,NA
Maine,NA,8.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,NA,12.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,NA,3,1999,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,NA,11,1999,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,NA,6.1,1999,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,NA,18.2,1999,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,NA,12.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Montana,NA,13.4,1999,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,NA,8.6,1999,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,NA,20,1999,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,NA,5.8,1999,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,NA,4.4,1999,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,NA,16.3,1999,NA,NA,NA,NA,NA,NA,NA,NA
New York,NA,5.3,1999,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,NA,13.1,1999,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,NA,7.5,1999,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,NA,8.2,1999,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,NA,14.8,1999,NA,NA,NA,NA,NA,NA,NA,NA
Oregon ,NA,11.3,1999,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,NA,9.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island,NA,5.3,1999,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,NA,13.8,1999,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,NA,9.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,NA,14.8,1999,NA,NA,NA,NA,NA,NA,NA,NA
Texas,NA,10.5,1999,NA,NA,NA,NA,NA,NA,NA,NA
Utah,NA,9.4,1999,NA,NA,NA,NA,NA,NA,NA,NA
Vermont,NA,9.3,1999,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,NA,11.7,1999,NA,NA,NA,NA,NA,NA,NA,NA
Washington,NA,10.1,1999,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,NA,13.3,1999,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,NA,8.3,1999,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,NA,15.2,1999,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,NA,17.2,2000,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,NA,17.9,2000,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,NA,15.6,2000,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,NA,15.4,2000,NA,NA,NA,NA,NA,NA,NA,NA
California,NA,9.3,2000,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,NA,10.3,2000,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut ,NA,5.3,2000,NA,NA,NA,NA,NA,NA,NA,NA
Delaware ,NA,6.6,2000,NA,NA,NA,NA,NA,NA,NA,NA
Florida ,NA,10.2,2000,NA,NA,NA,NA,NA,NA,NA,NA
Georgia ,NA,13.4,2000,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii ,NA,4.2,2000,NA,NA,NA,NA,NA,NA,NA,NA
Idaho ,NA,10.2,2000,NA,NA,NA,NA,NA,NA,NA,NA
Illinois ,NA,9,2000,NA,NA,NA,NA,NA,NA,NA,NA
Indiana ,NA,10.9,2000,NA,NA,NA,NA,NA,NA,NA,NA
Iowa ,NA,6.4,2000,NA,NA,NA,NA,NA,NA,NA,NA
Kansas ,NA,11.2,2000,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky ,NA,13.3,2000,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana ,NA,17.6,2000,NA,NA,NA,NA,NA,NA,NA,NA
Maine ,NA,8.5,2000,NA,NA,NA,NA,NA,NA,NA,NA
Maryland ,NA,11.9,2000,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts ,NA,2.7,2000,NA,NA,NA,NA,NA,NA,NA,NA
Michigan ,NA,10.8,2000,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota ,NA,6.3,2000,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi ,NA,16.6,2000,NA,NA,NA,NA,NA,NA,NA,NA
Missouri ,NA,13.2,2000,NA,NA,NA,NA,NA,NA,NA,NA
Montana ,NA,14.8,2000,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska ,NA,9.8,2000,NA,NA,NA,NA,NA,NA,NA,NA
Nevada ,NA,17.3,2000,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire ,NA,6.3,2000,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey ,NA,4.1,2000,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,16.1,2000,NA,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,5.7,2000,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,13.7,2000,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,6.6,2000,NA,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,7.8,2000,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,13.2,2000,NA,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,10.8,2000,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,10.1,2000,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,5.1,2000,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,12.4,2000,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,7.5,2000,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,15.7,2000,NA,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,10.6,2000,NA,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,9.9,2000,NA,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,8.8,2000,NA,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,11.1,2000,NA,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,8.9,2000,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,13,2000,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,8,2000,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,11.7,2000,NA,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,16.4,2001,NA,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,14.9,2001,NA,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,16,2001,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,15.3,2001,NA,NA,NA,NA,NA,NA,NA,NA
California NA,NA,9.4,2001,NA,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,11.7,2001,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,5.6,2001,NA,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,9.5,2001,NA,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,10.7,2001,NA,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,13.5,2001,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,3.7,2001,NA,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,13.5,2001,NA,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,10.2,2001,NA,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,11.9,2001,NA,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,6.4,2001,NA,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,9.9,2001,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,12.7,2001,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,17.5,2001,NA,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,7.2,2001,NA,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,11.4,2001,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,3,2001,NA,NA,NA,NA,NA,NA,NA,NA
