STATE,YEAR,EMP,GL,GR,ST,LOCATION,TV
Alabama,2000,1550,NA,NA,NA,NA,NA
Alabama,2001,960,NA,NA,NA,NA,NA
Alabama,2001,1210,NA,NA,NA,NA,NA
Alabama,2002,1000,NA,NA,NA,NA,NA
Alabama,2002,1240,NA,NA,NA,NA,NA
Alabama,2003,1080,NA,NA,NA,NA,NA
Alabama,2003,1420,NA,NA,NA,NA,NA
Alabama,2004,1040,NA,NA,NA,NA,NA
Alabama,2004,1320,NA,NA,NA,NA,NA
Alabama,2005,970,NA,NA,NA,NA,NA
Alabama,2005,1110,NA,NA,NA,NA,NA
Alabama,2006,1120,NA,NA,NA,NA,NA
Alabama,2006,970,NA,NA,NA,NA,NA
Alabama,2007,900,NA,NA,NA,NA,NA
Alabama,2007,650,NA,NA,NA,NA,NA
Alabama,2008,940,NA,NA,NA,NA,NA
Alabama,2008,620,NA,NA,NA,NA,NA
Alabama,2009,650,NA,NA,NA,NA,NA
Alabama,2009,840,NA,NA,NA,NA,NA
Alabama,2010,600,NA,NA,NA,NA,NA
Alabama,2010,1050,NA,NA,NA,NA,NA
Alabama,2011,NA,NA,64027,NA,NA,NA
Alabama,2011,770,NA,NA,NA,NA,NA
Alabama,2011,1060,NA,NA,NA,NA,NA
Alabama,2012,NA,6084,76159,NA,NA,NA
Alabama,2012,710,NA,NA,NA,NA,NA
Alabama,2012,1060,NA,NA,NA,NA,NA
Alabama,2013,NA,882,94721,NA,NA,NA
Alabama,2013,790,NA,NA,NA,NA,NA
Alabama,2013,1160,NA,NA,NA,NA,NA
Alabama,2014,NA,582,96744,NA,NA,NA
Alabama,2014,650,NA,NA,NA,NA,NA
Alabama,2014,840,NA,NA,NA,NA,NA
Alabama,2015,NA,481,114419,NA,NA,NA
Alabama,2015,650,NA,NA,NA,NA,NA
Alabama,2015,840,NA,NA,NA,NA,NA
Alabama,2016,NA,1182,134687,NA,NA,NA
Alabama,2016,900,NA,NA,NA,NA,NA
Alabama,2016,650,NA,NA,NA,NA,NA
Alabama,2017,NA,722,161641,NA,NA,NA
Alabama,2018,NA,NA,163398,NA,NA,NA
Alaska,2000,270,NA,NA,NA,NA,NA
Alaska,2000,370,NA,NA,NA,NA,NA
Alaska,2001,360,NA,NA,NA,NA,NA
