STATE,YEAR,EMP,# GL,# GR
Alabama,2012,NA,6084,76159
Alabama,2013,NA,882,94721
Alabama,2014,NA,582,96744
Alabama,2015,NA,481,114419
Alabama,2016,NA,1182,134687
Alabama,2017,NA,722,161641
Alabama,2011,NA,NA,64027
Alabama,2018,NA,NA,163398
Alabama,2000,1550,NA,NA
Alabama,2001,960,NA,NA
Alabama,2001,1210,NA,NA
Alabama,2002,1000,NA,NA
Alabama,2002,1240,NA,NA
Alabama,2003,1080,NA,NA
Alabama,2003,1420,NA,NA
Alabama,2004,1040,NA,NA
Alabama,2004,1320,NA,NA
Alabama,2005,970,NA,NA
Alabama,2005,1110,NA,NA
Alabama,2006,1120,NA,NA
Alabama,2006,970,NA,NA
Alabama,2007,900,NA,NA
Alabama,2007,650,NA,NA
Alabama,2008,940,NA,NA
Alabama,2008,620,NA,NA
Alabama,2009,650,NA,NA
Alabama,2009,840,NA,NA
Alabama,2010,600,NA,NA
Alabama,2010,1050,NA,NA
Alabama,2011,770,NA,NA
Alabama,2011,1060,NA,NA
Alabama,2012,710,NA,NA
Alabama,2012,1060,NA,NA
Alabama,2013,790,NA,NA
Alabama,2013,1160,NA,NA
Alabama,2014,650,NA,NA
Alabama,2014,840,NA,NA
Alabama,2015,650,NA,NA
Alabama,2015,840,NA,NA
Alabama,2016,900,NA,NA
Alabama,2016,650,NA,NA
Alaska,2012,NA,717,8939
Alaska,2013,NA,44,10000
Alaska,2014,NA,89,11167
Alaska,2015,NA,141,12424
Alaska,2016,NA,58,13439
Alaska,2017,NA,57,15824
Alaska,2011,NA,NA,8018
Alaska,2018,NA,NA,17572
Alaska,2000,270,NA,NA
Alaska,2000,370,NA,NA
Alaska,2001,360,NA,NA
Alaska,2001,470,NA,NA
Alaska,2002,220,NA,NA
Alaska,2002,500,NA,NA
Alaska,2003,240,NA,NA
Alaska,2003,650,NA,NA
Alaska,2004,230,NA,NA
Alaska,2004,670,NA,NA
Alaska,2005,240,NA,NA
Alaska,2005,**,NA,NA
Alaska,2006,290,NA,NA
Alaska,2006,330,NA,NA
Alaska,2007,380,NA,NA
Alaska,2008,450,NA,NA
Alaska,2008,300,NA,NA
Alaska,2009,370,NA,NA
Alaska,2009,360,NA,NA
Alaska,2010,420,NA,NA
Alaska,2010,590,NA,NA
Alaska,2011,510,NA,NA
Alaska,2011,580,NA,NA
Alaska,2012,590,NA,NA
Alaska,2012,640,NA,NA
Alaska,2013,600,NA,NA
Alaska,2013,460,NA,NA
Alaska,2014,370,NA,NA
Alaska,2014,360,NA,NA
Alaska,2015,370,NA,NA
Alaska,2015,360,NA,NA
Alaska,2016,380,NA,NA
Arizona,2012,NA,5431,56706
Arizona,2013,NA,718,59558
Arizona,2014,NA,347,62527
Arizona,2015,NA,208,65425
Arizona,2016,NA,457,69500
Arizona,2017,NA,609,79841
Arizona,2011,NA,NA,55844
Arizona,2018,NA,NA,84045
Arizona,2000,1400,NA,NA
Arizona,2000,2220,NA,NA
Arizona,2001,1740,NA,NA
Arizona,2001,1760,NA,NA
Arizona,2002,1540,NA,NA
Arizona,2002,2200,NA,NA
Arizona,2003,1920,NA,NA
Arizona,2003,1350,NA,NA
Arizona,2004,1900,NA,NA
Arizona,2004,1490,NA,NA
Arizona,2005,1760,NA,NA
Arizona,2005,1670,NA,NA
Arizona,2006,1630,NA,NA
Arizona,2006,1630,NA,NA
Arizona,2007,1460,NA,NA
